/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect8-vm1-128Write-16files-iodpeth128-try1:  write: IOPS=11.3k, BW= 1418 MiB/s (1486MB/s)(41.5GiB/30012msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect8-vm1-256Write-16files-iodpeth96-try1:  write: IOPS=5671, BW= 1419 MiB/s (1487MB/s)(41.6GiB/30019msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect16-vm1-256Write-16files-iodpeth128-try1:  write: IOPS=5670, BW= 1419 MiB/s (1488MB/s)(41.6GiB/30022msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect16-vm1-256Write-16files-iodpeth96-try1:  write: IOPS=5671, BW= 1419 MiB/s (1488MB/s)(41.6GiB/30017msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-256Write-16files-iodpeth48-try1:  write: IOPS=5672, BW= 1419 MiB/s (1487MB/s)(41.6GiB/30008msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-256Write-16files-iodpeth96-try1:  write: IOPS=5671, BW= 1419 MiB/s (1488MB/s)(41.6GiB/30018msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect16-vm1-512Write-16files-iodpeth48-try1:  write: IOPS=2835, BW= 1419 MiB/s (1487MB/s)(41.6GiB/30018msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-512Write-16files-iodpeth48-try1:  write: IOPS=2835, BW= 1419 MiB/s (1487MB/s)(41.6GiB/30014msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-512Write-16files-iodpeth96-try1:  write: IOPS=2834, BW= 1419 MiB/s (1488MB/s)(41.6GiB/30032msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-512Write-16files-iodpeth128-try1:  write: IOPS=2833, BW= 1419 MiB/s (1488MB/s)(41.6GiB/30034msec)
